Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1686510334,2023-06-11T19:05:34Z,ANA212,"51.471889,-0.441647",0,0,270
1686510429,2023-06-11T19:07:09Z,ANA212,"51.472,-0.440678",0,2,196
1686510611,2023-06-11T19:10:11Z,ANA212,"51.471123,-0.440598",0,1,180
1686510995,2023-06-11T19:16:35Z,ANA212,"51.47002,-0.440567",0,5,180
1686511062,2023-06-11T19:17:42Z,ANA212,"51.467365,-0.440548",0,12,180
1686511112,2023-06-11T19:18:32Z,ANA212,"51.466667,-0.442645",0,9,270
1686511140,2023-06-11T19:19:00Z,ANA212,"51.466652,-0.445118",0,14,270
1686511205,2023-06-11T19:20:05Z,ANA212,"51.466633,-0.452722",0,17,270
1686511267,2023-06-11T19:21:07Z,ANA212,"51.466599,-0.461648",0,0,270
1686511312,2023-06-11T19:21:52Z,ANA212,"51.466587,-0.467995",0,17,270
1686511342,2023-06-11T19:22:22Z,ANA212,"51.466576,-0.471744",0,16,270
1686511372,2023-06-11T19:22:52Z,ANA212,"51.466564,-0.475251",0,14,270
1686511404,2023-06-11T19:23:24Z,ANA212,"51.466549,-0.477562",0,8,270
1686511441,2023-06-11T19:24:01Z,ANA212,"51.466541,-0.478796",0,1,270
1686511481,2023-06-11T19:24:41Z,ANA212,"51.466541,-0.479798",0,6,270
1686511510,2023-06-11T19:25:10Z,ANA212,"51.466537,-0.481434",0,9,270
1686511540,2023-06-11T19:25:40Z,ANA212,"51.466526,-0.48357",0,10,270
1686511583,2023-06-11T19:26:23Z,ANA212,"51.466515,-0.486927",0,10,270
1686511612,2023-06-11T19:26:52Z,ANA212,"51.465778,-0.487785",0,9,199
1686511669,2023-06-11T19:27:49Z,ANA212,"51.46479,-0.48505",0,35,90
1686511702,2023-06-11T19:28:22Z,ANA212,"51.464897,-0.45845",100,175,89
1686511735,2023-06-11T19:28:55Z,ANA212,"51.464859,-0.409612",1200,206,95
1686511743,2023-06-11T19:29:03Z,ANA212,"51.462616,-0.395737",1600,207,111
1686511752,2023-06-11T19:29:12Z,ANA212,"51.458954,-0.383779",2075,203,117
1686511759,2023-06-11T19:29:19Z,ANA212,"51.455978,-0.374277",2375,202,116
1686511770,2023-06-11T19:29:30Z,ANA212,"51.451492,-0.36151",2750,199,123
1686511780,2023-06-11T19:29:40Z,ANA212,"51.445313,-0.349187",3075,200,129
1686511796,2023-06-11T19:29:56Z,ANA212,"51.437851,-0.329738",3650,198,118
1686511809,2023-06-11T19:30:09Z,ANA212,"51.433136,-0.310809",4075,198,109
1686511821,2023-06-11T19:30:21Z,ANA212,"51.430527,-0.297596",4425,200,107
1686511831,2023-06-11T19:30:31Z,ANA212,"51.42728,-0.278778",4575,209,105
1686511841,2023-06-11T19:30:41Z,ANA212,"51.425095,-0.264435",4700,224,103
1686511888,2023-06-11T19:31:28Z,ANA212,"51.41378,-0.181274",5825,256,102
1686511946,2023-06-11T19:32:26Z,ANA212,"51.398651,-0.071106",7800,272,102
1686512007,2023-06-11T19:33:27Z,ANA212,"51.380905,0.05701",9375,308,102
1686512067,2023-06-11T19:34:27Z,ANA212,"51.361176,0.196566",10825,348,102
1686512127,2023-06-11T19:35:27Z,ANA212,"51.338692,0.35553",12450,378,102
1686512257,2023-06-11T19:37:37Z,ANA212,"51.283997,0.722574",16750,403,103
1686512381,2023-06-11T19:39:41Z,ANA212,"51.227386,1.094742",20250,426,103
1686512511,2023-06-11T19:41:51Z,ANA212,"51.164017,1.495328",23425,444,104
1686512642,2023-06-11T19:44:02Z,ANA212,"51.094482,1.91756",25925,465,104
1686512766,2023-06-11T19:46:06Z,ANA212,"51.025257,2.336884",28025,482,104
1686512894,2023-06-11T19:48:14Z,ANA212,"50.959709,2.781372",29875,498,101
1686513023,2023-06-11T19:50:23Z,ANA212,"50.902908,3.240224",31000,497,101
1686513154,2023-06-11T19:52:34Z,ANA212,"50.842491,3.712234",31000,499,101
1686513285,2023-06-11T19:54:45Z,ANA212,"50.782578,4.165039",31000,496,101
1686513421,2023-06-11T19:57:01Z,ANA212,"50.716011,4.65126",31000,498,102
1686513552,2023-06-11T19:59:12Z,ANA212,"50.650043,5.118441",31000,498,102
1686513690,2023-06-11T20:01:30Z,ANA212,"50.5798,5.600652",31000,498,103
1686513836,2023-06-11T20:03:56Z,ANA212,"50.50238,6.114931",31000,499,103
1686513974,2023-06-11T20:06:14Z,ANA212,"50.427612,6.596423",31000,496,103
1686514106,2023-06-11T20:08:26Z,ANA212,"50.354233,7.055752",31000,493,104
1686514236,2023-06-11T20:10:36Z,ANA212,"50.280304,7.505686",31000,490,104
1686514368,2023-06-11T20:12:48Z,ANA212,"50.204132,7.957788",31000,490,104
1686514497,2023-06-11T20:14:57Z,ANA212,"50.128464,8.395362",31000,494,105
1686514624,2023-06-11T20:17:04Z,ANA212,"50.04575,8.831968",31000,499,112
1686514755,2023-06-11T20:19:15Z,ANA212,"49.914425,9.255462",31000,501,116
1686514852,2023-06-11T20:20:52Z,ANA212,"49.808147,9.558774",31000,504,129
1686514870,2023-06-11T20:21:10Z,ANA212,"49.778275,9.607905",31000,507,136
1686514907,2023-06-11T20:21:47Z,ANA212,"49.722565,9.709167",31000,503,123
1686514925,2023-06-11T20:22:05Z,ANA212,"49.702057,9.765139",31000,500,116
1686514937,2023-06-11T20:22:17Z,ANA212,"49.691162,9.803997",31000,498,111
1686515012,2023-06-11T20:23:32Z,ANA212,"49.63504,10.056899",31000,498,108
1686515145,2023-06-11T20:25:45Z,ANA212,"49.536621,10.499099",31000,497,109
1686515277,2023-06-11T20:27:57Z,ANA212,"49.431355,10.934663",31000,496,110
1686515406,2023-06-11T20:30:06Z,ANA212,"49.325867,11.361272",31000,497,110
1686515535,2023-06-11T20:32:15Z,ANA212,"49.219437,11.78333",31000,496,111
1686515666,2023-06-11T20:34:26Z,ANA212,"49.110424,12.207184",31000,493,111
1686515795,2023-06-11T20:36:35Z,ANA212,"49.000839,12.625893",31000,494,111
1686515925,2023-06-11T20:38:45Z,ANA212,"48.890789,13.03882",31000,494,112
1686516056,2023-06-11T20:40:56Z,ANA212,"48.776924,13.458035",31000,491,112
